ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2023-01-03T00:00:00.000000000Z,35,2,8734,269.010000000,270.170000000,262.140000000,264.600000000,7875373,QQQ
2023-01-04T00:00:00.000000000Z,35,2,8729,266.400000000,267.450000000,262.530000000,265.780000000,9456666,QQQ
2023-01-05T00:00:00.000000000Z,35,2,8726,265.060000000,267.010000000,261.260000000,262.090000000,7672187,QQQ
2023-01-06T00:00:00.000000000Z,35,2,8724,261.870000000,269.930000000,260.010000000,268.650000000,11848150,QQQ
2023-01-09T00:00:00.000000000Z,35,2,8719,269.090000000,275.290000000,269.090000000,270.170000000,8702173,QQQ
2023-01-10T00:00:00.000000000Z,35,2,8718,270.110000000,272.990000000,268.320000000,272.890000000,6816068,QQQ
2023-01-11T00:00:00.000000000Z,35,2,8723,272.510000000,277.700000000,272.390000000,277.540000000,8179989,QQQ
2023-01-12T00:00:00.000000000Z,35,2,8720,277.620000000,280.120000000,273.200000000,278.820000000,12315629,QQQ
2023-01-13T00:00:00.000000000Z,35,2,8712,278.960000000,281.210000000,275.710000000,280.600000000,9522248,QQQ
2023-01-17T00:00:00.000000000Z,35,2,8696,279.860000000,282.850000000,279.340000000,280.630000000,6673943,QQQ
2023-01-18T00:00:00.000000000Z,35,2,8695,281.620000000,284.690000000,277.560000000,277.910000000,9098162,QQQ
2023-01-19T00:00:00.000000000Z,35,2,8699,277.070000000,277.600000000,273.890000000,275.700000000,8022666,QQQ
2023-01-20T00:00:00.000000000Z,35,2,8700,276.000000000,283.020000000,275.290000000,282.840000000,8630854,QQQ
2023-01-23T00:00:00.000000000Z,35,2,8697,282.550000000,290.210000000,282.300000000,288.750000000,8798068,QQQ
2023-01-24T00:00:00.000000000Z,35,2,8695,288.820000000,290.900000000,286.370000000,286.800000000,8316536,QQQ
2023-01-25T00:00:00.000000000Z,35,2,8695,286.600000000,288.690000000,281.180000000,288.470000000,9735024,QQQ
2023-01-26T00:00:00.000000000Z,35,2,8699,289.210000000,293.550000000,288.520000000,291.770000000,9102320,QQQ
2023-01-27T00:00:00.000000000Z,35,2,8694,291.700000000,298.260000000,291.340000000,296.030000000,10199613,QQQ
2023-01-30T00:00:00.000000000Z,35,2,8689,293.120000000,294.370000000,289.890000000,290.920000000,7642440,QQQ
2023-01-31T00:00:00.000000000Z,35,2,8687,289.090000000,294.720000000,287.840000000,293.500000000,7860694,QQQ
2023-02-01T00:00:00.000000000Z,35,2,8685,294.000000000,304.490000000,292.300000000,304.180000000,14290363,QQQ
